Motion Sensor Data File Sep 20, 2018 1:39 PM
Time (s)	Distance (cm)	Dist Error (cm)
2.350	21.783	0.239
2.360	21.754	0.239
2.370	21.742	0.239
2.380	21.748	0.239
2.390	21.767	0.239
2.400	21.807	0.239
2.410	21.860	0.239
2.420	21.934	0.239
2.430	22.009	0.239
2.440	22.100	0.239
2.450	22.209	0.239
2.460	22.340	0.239
2.470	22.470	0.239
2.480	22.614	0.239
2.490	22.770	0.239
2.500	22.934	0.239
2.510	23.104	0.239
2.520	23.269	0.239
2.530	23.450	0.239
2.540	23.637	0.239
2.550	23.823	0.239
2.560	24.014	0.239
2.570	24.200	0.239
2.580	24.386	0.239
2.590	24.568	0.239
2.600	24.750	0.239
2.610	24.906	0.239
2.620	25.072	0.239
2.630	25.223	0.239
2.640	25.371	0.239
2.650	25.505	0.239
2.660	25.628	0.239
2.670	25.741	0.239
2.680	25.841	0.239
2.690	25.924	0.239
2.700	25.981	0.239
2.710	26.039	0.239
2.720	26.075	0.239
2.730	26.098	0.239
2.740	26.103	0.239
2.750	26.096	0.239
2.760	26.072	0.239
2.770	26.026	0.239
2.780	25.972	0.239
2.790	25.887	0.239
2.800	25.798	0.239
2.810	25.696	0.239
2.820	25.582	0.239
2.830	25.459	0.239
2.840	25.322	0.239
2.850	25.177	0.239
2.860	25.020	0.239
2.870	24.858	0.239
2.880	24.675	0.239
2.890	24.500	0.239
2.900	24.316	0.239
2.910	24.137	0.239
2.920	23.949	0.239
2.930	23.762	0.239
2.940	23.578	0.239
2.950	23.399	0.239
2.960	23.216	0.239
2.970	23.032	0.239
2.980	22.866	0.239
2.990	22.708	0.239
3.000	22.559	0.239
3.010	22.423	0.239
3.020	22.295	0.239
3.030	22.176	0.239
3.040	22.075	0.239
3.050	21.990	0.239
3.060	21.897	0.239
3.070	21.834	0.239
3.080	21.792	0.239
3.090	21.764	0.239
3.100	21.748	0.239
3.110	21.749	0.239
3.120	21.768	0.239
3.130	21.800	0.239
3.140	21.848	0.239
3.150	21.902	0.239
3.160	21.989	0.239
3.170	22.081	0.239
3.180	22.185	0.239
3.190	22.316	0.239
3.200	22.450	0.239
3.210	22.598	0.239
3.220	22.754	0.239
3.230	22.915	0.239
3.240	23.071	0.239
3.250	23.245	0.239
3.260	23.422	0.239
3.270	23.604	0.239
3.280	23.794	0.239
3.290	23.985	0.239
3.300	24.176	0.239
3.310	24.366	0.239
3.320	24.557	0.239
3.330	24.735	0.239
3.340	24.917	0.239
3.350	25.107	0.239
3.360	25.302	0.239
3.370	25.476	0.239
3.380	25.589	0.239
3.390	25.672	0.239
3.400	25.772	0.239
3.410	25.864	0.239
3.420	25.926	0.239
3.430	26.000	0.239
3.440	26.058	0.239
3.450	26.106	0.239
3.460	26.134	0.239
3.470	26.148	0.239
3.480	26.153	0.239
3.490	26.147	0.239
3.500	26.122	0.239
3.510	26.050	0.239
3.520	25.975	0.239
3.530	25.890	0.239
3.540	25.784	0.239
3.550	25.656	0.239
3.560	25.529	0.239
3.570	25.388	0.239
3.580	25.239	0.239
3.590	25.086	0.239
3.600	24.907	0.239
3.610	24.736	0.239
3.620	24.562	0.239
3.630	24.382	0.239
3.640	24.199	0.239
3.650	24.015	0.239
3.660	23.828	0.239
3.670	23.644	0.239
3.680	23.461	0.239
3.690	23.269	0.239
3.700	23.094	0.239
3.710	22.923	0.239
3.720	22.762	0.239
3.730	22.608	0.239
3.740	22.463	0.239
3.750	22.336	0.239
3.760	22.208	0.239
3.770	22.102	0.239
3.780	22.001	0.239
3.790	21.920	0.239
3.800	21.853	0.239
3.810	21.803	0.239
3.820	21.770	0.239
3.830	21.754	0.239
3.840	21.751	0.239
3.850	21.761	0.239
3.860	21.793	0.239
3.870	21.820	0.239
3.880	21.881	0.239
3.890	21.961	0.239
3.900	22.048	0.239
3.910	22.144	0.239
3.920	22.266	0.239
3.930	22.396	0.239
3.940	22.531	0.239
3.950	22.683	0.239
3.960	22.830	0.239
3.970	22.999	0.239
3.980	23.173	0.239
3.990	23.355	0.239
4.000	23.537	0.239
4.010	23.723	0.239
4.020	23.909	0.239
4.030	24.096	0.239
4.040	24.278	0.239
4.050	24.447	0.239
4.060	24.624	0.239
4.070	24.802	0.239
4.080	24.967	0.239
4.090	25.132	0.239
4.100	25.284	0.239
4.110	25.427	0.239
4.120	25.557	0.239
4.130	25.680	0.239
4.140	25.775	0.239
4.150	25.863	0.239
4.160	25.937	0.239
4.170	25.999	0.239
4.180	26.043	0.239
4.190	26.075	0.239
4.200	26.085	0.239
4.210	26.086	0.239
4.220	26.070	0.239
4.230	26.029	0.239
4.240	25.979	0.239
4.250	25.920	0.239
4.260	25.844	0.239
4.270	25.760	0.239
4.280	25.654	0.239
4.290	25.535	0.239
4.300	25.403	0.239
4.310	25.258	0.239
4.320	25.096	0.239
4.330	24.934	0.239
4.340	24.764	0.239
4.350	24.593	0.239
4.360	24.414	0.239
4.370	24.235	0.239
4.380	24.052	0.239
4.390	23.872	0.239
4.400	23.693	0.239
4.410	23.501	0.239
4.420	23.326	0.239
4.430	23.152	0.239
4.440	22.981	0.239
4.450	22.815	0.239
4.460	22.661	0.239
4.470	22.508	0.239
